[2024-04-02T13:54:15.980+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 23%  386M 3s
[2024-04-02T13:54:15.981+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 23% 17.7M 3s
[2024-04-02T13:54:15.986+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 23%  318M 3s
[2024-04-02T13:54:15.993+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 23% 28.7M 3s
[2024-04-02T13:54:15.995+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 23% 51.3M 3s
[2024-04-02T13:54:15.998+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 23%  114M 3s
[2024-04-02T13:54:16.001+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 23% 61.6M 3s
[2024-04-02T13:54:16.003+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 23% 23.9M 3s
[2024-04-02T13:54:16.004+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 24% 40.9M 3s
[2024-04-02T13:54:16.005+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 24% 33.0M 3s
[2024-04-02T13:54:16.006+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 24% 35.8M 3s
[2024-04-02T13:54:16.006+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 24% 44.3M 3s
[2024-04-02T13:54:16.006+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 24% 30.5M 3s
[2024-04-02T13:54:16.007+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 24% 98.6M 3s
[2024-04-02T13:54:16.007+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 24% 24.3M 3s
[2024-04-02T13:54:16.007+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 24% 19.4M 3s
[2024-04-02T13:54:16.008+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 25% 6.61M 3s
