[2024-03-29T11:42:28.053+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 20% 7.27M 10s
[2024-03-29T11:42:28.055+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 20%  367M 10s
[2024-03-29T11:42:28.061+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 20%  176M 10s
[2024-03-29T11:42:28.069+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 20%  441M 10s
[2024-03-29T11:42:28.072+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 20%  181M 10s
[2024-03-29T11:42:28.074+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 21%  206M 10s
[2024-03-29T11:42:28.075+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 21%  417M 10s
[2024-03-29T11:42:28.085+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 21%  211M 10s
[2024-03-29T11:42:28.087+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 21%  249M 10s
[2024-03-29T11:42:28.088+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 21%  311M 10s
[2024-03-29T11:42:28.089+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 21%  335M 10s
[2024-03-29T11:42:28.091+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 21%  293M 10s
[2024-03-29T11:42:28.092+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 21%  176M 9s
[2024-03-29T11:42:28.095+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 22%  447M 9s
[2024-03-29T11:42:28.096+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 22%  493K 10s
[2024-03-29T11:42:28.098+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 22%  500K 10s
[2024-03-29T11:42:28.099+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 22%  117M 10s
[2024-03-29T11:42:28.101+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 22%  523M 10s
[2024-03-29T11:42:28.105+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 22%  530M 10s
[2024-03-29T11:42:28.106+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 22%  530M 10s
[2024-03-29T11:42:28.108+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 23%  425M 10s
[2024-03-29T11:42:28.110+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 23%  541M 10s
[2024-03-29T11:42:28.115+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 23%  393M 9s
